index,topic,requires,difficulty,content,question,Failed_Models_Count,Model,target
toxicology_lmu-8-tox_lmu_8,Toxicity/Safety,Reasoning,,Why are many solvents and gases are mainly toxic through the lungs and not through the skin?,../data/safety/toxicology_lmu/8.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","because much more is absorbed by the lungs than by the skin, because the surface of the lungs is much larger than that of the skin: 1, because the bronchial tubes are easily damaged and therefore internal drowning occurs: 0, because the fibroblasts in the skin have a protective function, which is lacking in the fragile structure of the alveoli: 1, because the lungs have a greater metabolic activity than the skin and therefore more toxic metabolites are generated than in the skin: 0"
2010-3c2_0-icho_uk_2010_3c2,Physical Chemistry,Calculation,difficulty-basic,"The standard enthalpy changes of formation of \ce{IF} and \ce{IF3} are \pu{-95.4 kJ mol^{-1}} and \pu{-486 kJ mol^{-1}}, respectively. What is the standard enthalpy change for the reaction \ce{3IF -> xI2 + IF3} in \pu{kJ mol^{-1}}?",../data/icho/uk/2010/3c2_0.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2",-199.8
2010-3c2_1-icho_uk_2010_3c2,Physical Chemistry,Calculation,difficulty-basic,"The standard enthalpy changes of formation of \ce{IF3} and \ce{IF5} are \pu{-486 kJ mol^{-1}} and \pu{-843 kJ mol^{-1}}, respectively. What is the standard enthalpy change for the reaction \ce{5IF3 -> I2 + xIF5} in \pu{kJ mol^{-1}}?",../data/icho/uk/2010/3c2_1.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2",-99
2010-4c2-icho_uk_2010_4c2,Physical Chemistry,Calculation,difficulty-basic,"The density of pure water is \pu{1 g cm^{-3}}. What is the mole fraction of ions in a \pu{3 mol dm^{-3}} solution of sodium chloride, assuming there is no volume change upon dissolving the salt in water?",../data/icho/uk/2010/4c2.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2",0.1
2010-4d2-icho_uk_2010_4d2,Physical Chemistry,Calculation,difficulty-basic,"The density of pure water is \pu{1 g cm^{-3}}, the melting point of pure water is \pu{273 K} and the standard enthalpy change of melting for pure water is \pu{6.01 kJ mol^{-1}}. The depression in freezing point can be calculated by $rac{nRT_\mathrm{melt}^2}{\Delta H_\mathrm{melt}}$, where $n$ is the amount of substance (in \pu{mol}) of ions, $R$ is the gas constant, $T_\mathrm{melt}$ is the melting point of pure water, and $\Delta H_\mathrm{melt}$ is the standard enthalpy change of melting for pure water. In reality, the salt is often present in excess and so the maximum freezing point depression is limited by the maximum solubility of the salt in water at low temperatures. The most concentrated solutions of sodium chloride remain liquid down to temperatures of \pu{-21.1 deg C}. What is the concentration of sodium chloride is this in \pu{mol dm^{-3}}?",../data/icho/uk/2010/4d2.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2",7.16
2010-4e-icho_uk_2010_4e,Physical Chemistry,Calculation,difficulty-basic,"The density of pure water is \pu{1 g cm^{-3}}, the melting point of pure water is \pu{273 K} and the standard enthalpy change of melting for pure water is \pu{6.01 kJ mol^{-1}}. In a calcium chloride solution water molecules become strongly coordinated to the calcium ions and so are no longer free in solution. On average, 9 molecules of water are bound per calcium ion. These bound water molecules are no longer counted towards the number of moles of water in the mole fraction calculation but assume there is no volume change upon dissolving the salt in water. The depression in freezing point can be calculated by $rac{{nRT_{melt}^2}}{\Delta H_{melt}}$ , where $n$ is the amount of substance (in \pu{mol}) of ions, $R$ is the gas constant, $T_\mathrm{melt}$ is the melting point of pure water, and $\Delta H_\mathrm{melt}$ is the standard enthalpy change of melting for pure water. What is the freezing point of a \pu{3 mol dm^{-3}} solution of calcium chloride in \pu{K}?",../data/icho/uk/2010/4e.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2",248.3
2011-1e-icho_uk_2011_1e,Organic Chemistry,Reasoning,,How many chiral centers are present in the molecular structure of citric acid?,../data/icho/uk/2011/1e.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2",0
2019-1e-icho_uk_2019_1e,Physical Chemistry,Calculation,,"The standard enthalpies of formation of \ce{CO(g)}, \ce{CO2(g)} and \ce{H2O(g)} are -110.5, -393.5 and \pu{-241.1 kJ mol^{-1}} respectively. What is the enthalpy of reaction for the reaction \ce{CO + H2O <=> CO2 + H2} in \pu{kJ mol^{-1}}?",../data/icho/uk/2019/1e.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2",-41.9
2019-5e-icho_uk_2019_5e,Physical Chemistry,Calculation,difficulty-basic,"With \pu{0.1619 g} of polylactic acid (PLA) dissolved in \pu{25 cm^{3}} of benzyl alcohol and titrated using a \pu{0.04 mol dm^{-3}} \ce{KOH} solution, where the titre was \pu{6.81 cm^{3}}, the calculated average molar mass of polymer chains in this PLA sample is \pu{595 g mol^{-1}}. What is the average number of monomer units within each polymer chain in this specific sample?",../data/icho/uk/2019/5e.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2",8
2020-2d-icho_uk_2020_2d,Physical Chemistry,Calculation,,"Assume all processes take place at \pu{298 K}. The entropy change of formation of \ce{H2O(l)} is \pu{-163.0 J K^{-1} mol^{-1}} and the enthalpy change of formation of \ce{H2O(l)} is \pu{ -285.8 kJ mol^{-1}}. What is the cell potential for the overall cell reaction during electrolysis of water, \ce{2H2O(l) -> 2H2(g) + O2(g)} in \pu{V}?",../data/icho/uk/2020/2d.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2",-1.23
